Acidity,Aftertaste,Aroma,Balance,Body,C1,C2,Clean.Cup,Country,Cupper.Points,Flavor,Grading,Harvest,Moisture,Owner,Species,Sweetness,Total.Cup.Points,Uniform.Cup,Uniformity
7.75,7.92,7.83,8.0,8.08,0,1,10.0,United States (Hawaii),8.0,8.0,"April 6th, 2012",2012,0.0,kona pacific farmers cooperative,Arabica,10.0,85.58,,10.0
7.83,7.83,8.0,8.58,7.67,2,2,10.0,Panama,7.83,7.75,"May 23rd, 2015",2014,0.09,essencecoffee,Arabica,10.0,85.5,,10.0
8.08,7.83,7.92,7.92,7.83,0,3,10.0,Kenya,8.0,7.92,"May 23rd, 2015",2014,0.1,essencecoffee,Arabica,10.0,85.5,,10.0
7.92,7.83,7.83,8.08,7.83,0,7,10.0,Ethiopia,8.0,8.0,"March 31st, 2015",2015,0.12,assefa belay coffee producer,Arabica,10.0,85.5,,10.0
7.92,7.67,8.33,7.92,7.67,0,1,10.0,Uganda,8.08,7.92,"June 26th, 2014",2013,0.12,kyagalanyi ltd,Arabica,10.0,85.5,,10.0
8.33,7.67,8.0,8.0,7.83,0,1,10.0,Guatemala,7.83,7.83,"February 26th, 2013",2013,0.11,juan luis alvarado romero,Arabica,10.0,85.5,,10.0
8.17,7.83,7.75,7.83,7.92,0,18,10.0,Ethiopia,8.08,7.83,"March 31st, 2015",2015,0.1,assefa belay coffee producer,Arabica,10.0,85.42,,10.0
7.67,7.83,8.08,7.83,8.0,0,5,10.0,Uganda,8.0,8.0,"June 26th, 2014",2013,0.12,great lakes coffee uganda,Arabica,10.0,85.42,,10.0
7.92,7.75,7.92,7.92,7.75,4,6,10.0,United States (Hawaii),8.25,7.92,"April 6th, 2012",2012,0.0,kona pacific farmers cooperative,Arabica,10.0,85.42,,10.0
7.67,8.0,8.0,8.0,7.75,0,1,10.0,Brazil,8.0,8.0,"December 3rd, 2011",2011,0.11,nucoffee,Arabica,10.0,85.42,,10.0
8.08,7.83,8.08,7.83,7.83,0,0,10.0,El Salvador,7.92,7.83,"May 31st, 2010",2009 / 2010,0.01,grounds for health admin,Arabica,10.0,85.42,,10.0
7.83,8.0,8.0,7.75,7.83,0,0,10.0,China,7.92,8.0,"April 6th, 2016",2015,0.1,yunnan coffee exchange,Arabica,10.0,85.33,,10.0
7.67,7.83,7.83,8.58,7.83,0,1,10.0,Guatemala,7.83,7.75,"May 23rd, 2015",2014,0.11,essencecoffee,Arabica,10.0,85.33,,10.0
7.92,8.0,7.92,8.08,8.0,0,0,10.0,Costa Rica,8.0,8.08,"May 1st, 2014",2014,0.0,the coffee source inc.,Arabica,9.33,85.33,,10.0
7.67,7.58,8.0,8.5,8.08,0,2,10.0,Costa Rica,7.92,7.58,"May 1st, 2014",2014,0.1,the coffee source inc.,Arabica,10.0,85.33,,10.0
8.08,7.75,7.83,7.75,7.92,0,2,10.0,Kenya,7.92,8.08,"April 19th, 2013",2012,0.0,rashid moledina & co. (msa) ltd.,Arabica,10.0,85.33,,10.0
8.08,7.92,8.0,7.75,7.83,0,6,10.0,Kenya,7.83,7.92,"March 12th, 2013",2012,0.0,ibero kenya limited,Arabica,10.0,85.33,,10.0
8.08,7.92,7.83,7.83,7.75,0,2,10.0,Ethiopia,8.08,7.83,"June 17th, 2010",2009/2010,0.05,ethiopia commodity exchange,Arabica,10.0,85.33,,10.0
8.33,7.75,7.92,7.75,7.75,0,3,10.0,Ethiopia,8.0,7.83,"June 17th, 2010",2009/2010,0.1,ethiopia commodity exchange,Arabica,10.0,85.33,,10.0
8.0,7.75,8.0,7.83,7.92,0,2,10.0,Guatemala,7.83,7.92,"April 27th, 2016",2016,0.1,juan luis alvarado romero,Arabica,10.0,85.25,,10.0
8.0,7.83,8.17,7.83,7.58,0,0,10.0,Colombia,7.92,7.92,"April 8th, 2015",2015,0.11,exportadora de cafe condor s.a,Arabica,10.0,85.25,,10.0
7.83,7.92,7.58,7.92,8.0,0,2,10.0,Colombia,7.92,8.08,"January 17th, 2014",2014,0.12,compañia colombiana agroindustrial s.a,Arabica,10.0,85.25,,10.0
8.0,7.67,7.75,7.83,8.08,0,3,10.0,Indonesia,8.0,7.83,"November 26th, 2012",2012,0.11,"nomura trading co., ltd.",Arabica,10.0,85.17,,10.0
7.92,7.67,8.25,7.67,7.75,0,7,10.0,Guatemala,7.92,8.0,"January 18th, 2012",2012,0.0,the coffee source inc.,Arabica,10.0,85.17,,10.0
8.0,7.58,7.75,7.92,8.0,0,8,10.0,Ethiopia,7.83,8.0,"August 9th, 2016",2016,0.11,seid damtew coffee planataion,Arabica,10.0,85.08,,10.0
8.08,7.58,8.17,7.75,8.0,0,0,10.0,Colombia,7.67,7.83,"August 18th, 2015",2015,0.0,carcafe ltda ci,Arabica,10.0,85.08,,10.0
8.0,7.42,8.42,7.92,7.92,2,7,10.0,Ethiopia,8.08,8.0,"October 7th, 2014",2014,0.1,steven kil,Arabica,10.0,85.08,,9.33
7.92,7.83,7.58,8.17,7.83,2,2,10.0,United States (Hawaii),7.92,7.83,"March 10th, 2014",2014,0.11,eileen koyanagi,Arabica,10.0,85.08,,10.0
7.75,7.75,7.83,7.83,7.83,0,8,10.0,Colombia,8.08,8.0,"March 16th, 2012",2012,0.11,carcafe ltda ci,Arabica,10.0,85.08,,10.0
8.0,7.92,8.08,8.0,8.08,1,7,9.33,United States (Hawaii),8.17,8.17,"December 27th, 2010",2010-2011,0.01,kona pacific farmers cooperative,Arabica,10.0,85.08,,9.33
8.0,7.83,7.67,7.83,7.92,0,5,10.0,Ethiopia,7.83,8.0,"June 17th, 2010",2010,0.0,ethiopia commodity exchange,Arabica,10.0,85.08,,10.0
7.83,8.25,7.5,7.75,7.92,0,0,10.0,United States (Hawaii),7.92,7.92,"May 17th, 2010",,0.0,kona pacific farmers cooperative,Arabica,10.0,85.08,,10.0
7.75,7.75,8.17,7.75,7.67,0,1,10.0,Uganda,8.0,7.92,"July 24th, 2017",2016,0.11,kyagalanyi coffee ltd,Arabica,10.0,85.0,,10.0
7.92,7.75,8.0,7.83,7.75,0,3,10.0,Colombia,7.83,7.92,"February 15th, 2017",2016,0.0,racafe & cia s.c.a,Arabica,10.0,85.0,,10.0
7.92,7.58,7.83,7.83,7.92,1,1,10.0,Costa Rica,7.92,8.0,"January 30th, 2017",2016,0.12,troy quimby,Arabica,10.0,85.0,,10.0
7.75,7.83,7.83,7.83,7.67,0,3,10.0,Mexico,8.08,8.0,"September 21st, 2016",2015,0.09,"el equimite, cafetal biodinámico",Arabica,10.0,85.0,,10.0
7.75,7.92,8.17,7.83,7.67,0,7,10.0,Kenya,7.83,7.83,"May 7th, 2016",2015,0.11,simon mahinda,Arabica,10.0,85.0,,10.0
8.08,7.75,7.75,7.75,8.0,0,5,10.0,Kenya,7.83,7.83,"April 19th, 2013",2012,0.0,rashid moledina & co. (msa) ltd.,Arabica,10.0,85.0,,10.0
7.83,7.83,8.0,7.67,7.67,0,3,10.0,Brazil,8.0,8.0,"February 29th, 2012",2012,0.12,nucoffee,Arabica,10.0,85.0,,10.0
8.08,7.75,7.92,7.83,7.42,0,0,10.0,Mexico,7.83,8.17,"April 6th, 2011",2010-2011,0.0,young kim,Arabica,10.0,85.0,,10.0
7.75,7.75,7.75,8.0,8.0,0,1,10.0,United States (Hawaii),7.83,7.92,"February 24th, 2011",,0.0,kona pacific farmers cooperative,Arabica,10.0,85.0,,10.0
8.0,7.67,7.83,7.67,7.75,0,1,10.0,Guatemala,8.0,8.08,"September 7th, 2010",2009/2010,0.04,carl walker,Arabica,10.0,85.0,,10.0
7.83,7.67,7.92,7.83,7.92,1,2,10.0,Colombia,7.83,7.92,"November 25th, 2016",2016,0.0,racafe & cia s.c.a,Arabica,10.0,84.92,,10.0
7.83,7.75,7.92,8.0,7.75,0,1,10.0,Colombia,7.83,7.83,"October 26th, 2015",2015,0.12,racafe & cia s.c.a,Arabica,10.0,84.92,,10.0
7.58,8.0,7.67,7.92,8.0,0,0,10.0,Taiwan,7.92,7.83,"June 9th, 2015",2015,0.11,"lin, che-hao krude 林哲豪",Arabica,10.0,84.92,,10.0
7.92,7.83,8.0,7.75,7.75,0,2,10.0,"Tanzania, United Republic Of",7.83,7.83,"December 12th, 2014",2014,0.12,taylor winch (t) ltd,Arabica,10.0,84.92,,10.0
7.75,7.83,7.75,8.0,7.75,0,3,10.0,Colombia,7.92,7.92,"December 11th, 2012",2012,0.11,racafe & cia s.c.a,Arabica,10.0,84.92,,10.0
7.83,7.75,7.75,7.92,7.5,0,0,10.0,Mexico,8.17,8.0,"July 11th, 2012",2012,0.11,artemio zapata tejeda,Arabica,10.0,84.92,,10.0
7.75,7.75,8.0,7.75,8.0,0,2,10.0,Brazil,7.75,7.92,"December 23rd, 2011",2011,0.11,nucoffee,Arabica,10.0,84.92,,10.0
8.0,7.75,8.0,7.75,7.5,0,2,10.0,Brazil,7.92,8.0,"December 3rd, 2011",2011,0.12,nucoffee,Arabica,10.0,84.92,,10.0
8.17,7.83,8.0,7.75,7.92,1,9,10.0,Kenya,7.58,7.67,"August 26th, 2010",2009-2010,0.06,brian speckman,Arabica,10.0,84.92,,10.0
7.83,7.83,7.92,7.83,7.83,0,0,10.0,Taiwan,8.0,7.58,"May 18th, 2016",2016,0.0,"lin, che-hao krude 林哲豪",Arabica,10.0,84.83,,10.0
7.67,7.67,7.75,7.75,8.25,0,1,10.0,Uganda,7.83,7.92,"June 30th, 2014",2013,0.12,kawacom uganda ltd,Arabica,10.0,84.83,,10.0
7.75,7.75,7.67,8.0,7.83,3,15,10.0,United States (Hawaii),8.08,7.75,"April 6th, 2012",2012,0.0,kona pacific farmers cooperative,Arabica,10.0,84.83,,10.0
7.92,7.83,7.75,7.67,7.75,0,2,10.0,Ethiopia,8.0,7.92,"June 17th, 2010",2009/2010,0.1,ethiopia commodity exchange,Arabica,10.0,84.83,,10.0
8.0,7.92,7.42,7.83,7.83,0,4,10.0,Ethiopia,7.92,7.92,"June 17th, 2010",2009/2010,0.1,philip schluter,Arabica,10.0,84.83,,10.0
7.75,7.75,7.75,7.75,8.0,0,0,10.0,Thailand,8.0,7.75,"June 27th, 2016",2015,0.12,松澤宏樹 koju matsuzawa,Arabica,10.0,84.75,,10.0
7.92,7.58,7.92,7.83,7.75,0,0,10.0,Kenya,7.92,7.83,"June 2nd, 2015",2014,0.13,lydiah mwangi,Arabica,10.0,84.75,,10.0
7.67,8.0,7.83,7.67,7.67,0,4,10.0,Honduras,8.17,7.75,"April 25th, 2014",2014,0.11,cadexsa,Arabica,10.0,84.75,,10.0
8.33,8.0,7.75,7.92,7.67,0,3,10.0,El Salvador,7.75,8.0,"August 23rd, 2011",2010-2011,0.15,the coffee source inc.,Arabica,9.33,84.75,,10.0
7.83,7.58,7.83,7.67,7.75,0,2,10.0,Nicaragua,8.5,7.58,"May 31st, 2010",2009 - 2010,0.18,grounds for health admin,Arabica,10.0,84.75,,10.0
8.0,7.5,7.83,7.67,7.83,0,2,10.0,El Salvador,8.0,7.83,"June 26th, 2017",2016,0.0,consejo salvadoreño del café,Arabica,10.0,84.67,,10.0
7.75,7.75,7.92,7.75,7.75,0,7,10.0,Indonesia,7.92,7.83,"November 24th, 2016",2016,0.12,sanjava coffee,Arabica,10.0,84.67,,10.0
7.42,7.75,7.75,7.83,8.08,0,0,10.0,Japan,8.08,7.75,"November 2nd, 2016",,0.12,松澤宏樹 koju matsuzawa,Arabica,10.0,84.67,,10.0
7.83,7.67,8.08,7.92,7.5,0,2,10.0,Costa Rica,7.92,7.75,"October 4th, 2016",2015,0.1,rodrigo soto,Arabica,10.0,84.67,,10.0
8.0,7.58,7.75,7.75,7.92,0,1,10.0,Guatemala,7.83,7.83,"June 1st, 2016",2015,0.1,juan luis alvarado romero,Arabica,10.0,84.67,,10.0
7.17,7.83,8.17,7.75,7.83,0,0,10.0,Costa Rica,7.92,8.0,"July 6th, 2015",2014,0.12,fabian calderon mora,Arabica,10.0,84.67,,10.0
7.83,7.75,8.08,7.67,7.58,0,3,10.0,Ethiopia,7.92,7.83,"May 23rd, 2015",2014,0.1,essencecoffee,Arabica,10.0,84.67,,10.0
7.75,7.75,7.67,8.58,7.67,0,1,10.0,Costa Rica,7.67,7.58,"May 23rd, 2015",2014,0.08,essencecoffee,Arabica,10.0,84.67,,10.0
7.75,7.83,8.0,7.75,7.75,0,4,10.0,Costa Rica,8.0,7.58,"March 5th, 2014",2014,0.11,eric thormaehlen,Arabica,10.0,84.67,,10.0
7.83,7.75,8.08,8.0,7.92,1,10,10.0,Costa Rica,7.92,7.83,"January 3rd, 2014",2012,0.0,rob tuttle,Arabica,9.33,84.67,,10.0
7.75,7.75,8.0,7.75,7.75,0,0,10.0,Taiwan,7.75,7.92,"December 26th, 2013",2013/2014,0.11,cqi taiwan icp cqi台灣合作夥伴,Arabica,10.0,84.67,,10.0
7.83,7.75,7.75,7.83,7.75,0,0,10.0,Colombia,7.92,7.83,"December 20th, 2013",2013,0.0,compañia colombiana agroindustrial s.a,Arabica,10.0,84.67,,10.0
8.0,7.83,7.75,7.75,7.58,0,0,10.0,Kenya,7.83,7.92,"September 16th, 2012",2012,0.11,dream together,Arabica,10.0,84.67,,10.0
7.83,7.67,8.0,8.0,7.67,0,4,10.0,Guatemala,7.67,7.83,"July 17th, 2012",2012,0.11,juan luis alvarado romero,Arabica,10.0,84.67,,10.0
8.0,7.67,7.67,7.83,7.67,0,4,10.0,Guatemala,8.0,7.83,"July 3rd, 2012",2012,0.12,juan luis alvarado romero,Arabica,10.0,84.67,,10.0
7.92,7.67,7.83,7.83,7.92,0,3,10.0,Mexico,7.92,7.58,"July 2nd, 2012",2012,0.13,organizaciones de productores de cafe colimense,Arabica,10.0,84.67,,10.0
7.92,7.75,7.92,7.75,7.67,0,3,10.0,Uganda,7.83,7.83,"February 13th, 2012",2012,0.11,afca,Arabica,10.0,84.67,,10.0
7.75,7.75,7.67,7.83,7.92,0,3,10.0,Peru,7.92,7.83,"June 14th, 2011",,0.0,benjamin schmerler,Arabica,10.0,84.67,,10.0
8.0,7.75,7.42,7.92,8.0,0,3,10.0,Ethiopia,7.83,7.75,"June 17th, 2010",2009/2010,0.2,ethiopia commodity exchange,Arabica,10.0,84.67,,10.0
7.75,7.83,7.92,7.92,7.58,0,5,10.0,Kenya,7.83,7.75,"January 11th, 2018",,0.11,jungle estate,Arabica,10.0,84.58,,10.0
7.92,7.58,7.83,7.83,7.67,0,4,10.0,Colombia,8.08,7.67,"January 10th, 2017",2016,0.0,racafe & cia s.c.a,Arabica,10.0,84.58,,10.0
8.0,7.58,7.92,7.67,7.83,0,5,10.0,Colombia,7.75,7.83,"December 28th, 2016",2016,0.0,racafe & cia s.c.a,Arabica,10.0,84.58,,10.0
7.75,7.83,7.83,7.83,7.58,0,2,10.0,Kenya,7.92,7.83,"July 21st, 2014",2013,0.1,daniel magu,Arabica,10.0,84.58,,10.0
7.92,7.67,7.75,7.83,7.75,0,1,10.0,Guatemala,7.83,7.83,"May 29th, 2014",2014,0.11,juan luis alvarado romero,Arabica,10.0,84.58,,10.0
7.58,7.67,8.0,7.67,7.58,0,0,10.0,Guatemala,8.17,7.92,"March 24th, 2014",2014,0.09,juan luis alvarado romero,Arabica,10.0,84.58,,10.0
7.75,7.58,7.67,8.5,7.58,0,0,10.0,Colombia,7.83,7.67,"December 20th, 2013",2013,0.0,compañia colombiana agroindustrial s.a,Arabica,10.0,84.58,,10.0
7.75,7.83,7.75,8.0,7.58,0,5,10.0,Colombia,7.92,7.75,"December 6th, 2013",2013,0.0,racafe & cia s.c.a,Arabica,10.0,84.58,,10.0
8.08,7.75,7.75,7.75,7.75,0,0,10.0,Kenya,7.75,7.75,"August 30th, 2013",2013,0.0,taylor winch (coffee) ltd.,Arabica,10.0,84.58,,10.0
8.0,7.83,7.67,7.92,7.58,0,2,10.0,Colombia,7.75,7.83,"July 17th, 2013",2012,0.0,exportadora de cafe condor s.a,Arabica,10.0,84.58,,10.0
8.0,7.75,7.75,7.67,7.83,0,2,10.0,Costa Rica,7.75,7.83,"March 12th, 2013",2012,0.12,lusso lab,Arabica,10.0,84.58,,10.0
7.75,7.75,7.42,7.83,8.08,0,6,10.0,Colombia,8.08,7.67,"October 9th, 2012",2012,0.11,exportadora de cafe condor s.a,Arabica,10.0,84.58,,10.0
7.75,7.75,8.0,7.75,7.58,0,2,10.0,Brazil,7.75,8.0,"December 23rd, 2011",2011,0.12,nucoffee,Arabica,10.0,84.58,,10.0
